Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return_%,Price_Range
2025-04-29,207.78,211.32,207.47,210.29,36827600,0.0,0.0,AAPL,1.21,3.85
2025-04-30,208.39,212.65,205.77,211.58,52286500,0.0,0.0,AAPL,1.53,6.88
2025-05-01,208.17,213.63,207.99,212.39,57365700,0.0,0.0,AAPL,2.03,5.64
2025-05-02,205.2,206.09,201.28,204.46,101010600,0.0,0.0,AAPL,-0.36,4.81
2025-05-05,202.22,203.21,197.35,198.03,69018500,0.0,0.0,AAPL,-2.07,5.86
2025-05-06,197.35,199.78,196.17,197.65,51216500,0.0,0.0,AAPL,0.15,3.61
2025-05-07,198.31,198.57,192.41,195.4,68536700,0.0,0.0,AAPL,-1.47,6.16
2025-05-08,196.86,199.18,193.84,196.63,50478900,0.0,0.0,AAPL,-0.12,5.34
2025-05-09,198.14,199.67,196.68,197.67,36453900,0.0,0.0,AAPL,-0.24,2.99
2025-05-12,210.33,210.63,206.12,210.15,63775800,0.26,0.0,AAPL,-0.09,4.51
2025-05-13,209.79,212.75,208.37,212.28,51909300,0.0,0.0,AAPL,1.19,4.38
2025-05-14,211.79,213.29,209.94,211.69,49325800,0.0,0.0,AAPL,-0.05,3.35
2025-05-15,210.31,212.31,208.9,210.81,45029500,0.0,0.0,AAPL,0.24,3.41
2025-05-16,211.72,211.93,209.13,210.62,54737900,0.0,0.0,AAPL,-0.52,2.8
2025-05-19,207.28,208.84,203.64,208.15,46140500,0.0,0.0,AAPL,0.42,5.2
2025-05-20,207.04,207.84,204.41,206.23,42496600,0.0,0.0,AAPL,-0.39,3.43
2025-05-21,204.55,206.41,200.1,201.48,59211800,0.0,0.0,AAPL,-1.5,6.31
2025-05-22,200.1,202.13,199.09,200.75,46742400,0.0,0.0,AAPL,0.32,3.04
2025-05-23,193.08,197.1,192.87,194.68,78432900,0.0,0.0,AAPL,0.83,4.23
2025-05-27,197.7,200.13,196.83,199.6,56288500,0.0,0.0,AAPL,0.96,3.3
2025-05-28,199.98,202.11,199.29,199.81,45339700,0.0,0.0,AAPL,-0.09,2.82
2025-05-29,202.96,203.19,197.91,199.34,51396800,0.0,0.0,AAPL,-1.78,5.28
2025-05-30,198.77,201.35,196.18,200.24,70819900,0.0,0.0,AAPL,0.74,5.17
2025-06-02,199.67,201.52,199.51,201.09,35423300,0.0,0.0,AAPL,0.71,2.01
2025-06-03,200.74,203.15,200.35,202.65,46381600,0.0,0.0,AAPL,0.95,2.8
2025-06-04,202.29,205.61,201.49,202.2,43604000,0.0,0.0,AAPL,-0.04,4.12
2025-06-05,202.88,204.13,199.54,200.02,55126100,0.0,0.0,AAPL,-1.41,4.59
2025-06-06,202.38,205.08,201.44,203.3,46607700,0.0,0.0,AAPL,0.45,3.64
2025-06-09,203.77,205.38,199.41,200.84,72862600,0.0,0.0,AAPL,-1.44,5.97
2025-06-10,199.99,203.73,199.96,202.06,54672600,0.0,0.0,AAPL,1.04,3.77
2025-06-11,202.88,203.88,197.81,198.18,60989900,0.0,0.0,AAPL,-2.32,6.07
2025-06-12,198.48,199.07,196.76,198.6,43904600,0.0,0.0,AAPL,0.06,2.31
2025-06-13,199.12,199.76,195.11,195.85,51447300,0.0,0.0,AAPL,-1.64,4.65
2025-06-16,196.7,198.09,195.96,197.82,43020700,0.0,0.0,AAPL,0.57,2.13
2025-06-17,196.6,197.79,194.62,195.05,38856200,0.0,0.0,AAPL,-0.79,3.17
2025-06-18,195.35,196.97,194.48,195.98,45394700,0.0,0.0,AAPL,0.32,2.49
2025-06-20,197.64,201.09,196.26,200.39,96813500,0.0,0.0,AAPL,1.39,4.83
2025-06-23,201.02,201.69,198.36,200.89,55814300,0.0,0.0,AAPL,-0.06,3.33
2025-06-24,201.98,202.82,199.59,199.69,54064000,0.0,0.0,AAPL,-1.13,3.23
2025-06-25,200.84,203.05,200.01,200.95,39525700,0.0,0.0,AAPL,0.05,3.04
